hold_days,stop_loss_frac,entry_threshold,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held,stop_loss_exit_count
11,0.3,0.0,-26.439982128964502,-1.7994907381309753,-29.48908495616685,5.6518261796854175,105,105,6.171428571428572,67
11,0.3,0.0005,-20.762899511211476,-2.1865645390935966,-24.072852830298373,3.998933617701946,80,80,6.075,52
11,0.3,0.001,-7.88611302466612,-2.4393342215640033,-10.409929926352794,2.4526792855238604,42,42,6.880952380952381,27
11,0.4,,-41.587649967036455,-1.0696840984159897,-46.936667011509805,11.650226606238338,182,182,7.225274725274725,103
11,0.4,0.0,-25.654823966635508,-1.7777639213967829,-29.287547140349595,5.998400426552919,102,102,6.607843137254902,61
11,0.4,0.0005,-20.32599961720497,-2.1667620115325223,-23.81806036662886,4.158890962410024,79,79,6.405063291139241,49
11,0.4,0.001,-7.571382970515628,-2.4160919316456257,-10.103823121705888,2.479338842975207,42,42,7.0,26
12,,,-1.1892918109180028,-1.4650227181937925,-7.8167772690985,15.249266862170089,140,140,12.0,0
12,,0.0,-11.09208337780576,-2.2298465249127806,-14.742508812990895,9.357504665422555,85,85,12.0,0
12,,0.0005,-15.983299395865247,-2.837535116486493,-19.108354384147418,6.558251133031192,64,64,12.0,0
12,,0.001,-7.723291651124875,-2.4247518534637185,-10.607946733988355,3.9722740602505997,38,38,12.0,0
12,0.1,,-30.56102006830016,-1.076340140016123,-36.959010182361126,10.61050386563583,209,209,5.9330143540669855,147
12,0.1,0.0,-21.537683124228003,-1.930465447507267,-24.366108898224805,5.091975473207145,110,110,5.527272727272727,81
12,0.1,0.0005,-14.703663867996507,-2.5628370382003496,-17.715913206565183,3.225806451612903,80,80,5.225,61
12,0.1,0.001,-9.205486302680633,-2.5660328038160283,-11.759016519405218,1.999466808850973,44,44,5.795454545454546,33
12,0.2,,-32.87474979815095,-1.0827962624497909,-39.40006354581724,11.276992801919489,187,187,6.828877005347594,118
12,0.2,0.0,-20.370924721244023,-1.8640369566555084,-23.139050155741117,5.598507064782725,105,105,6.104761904761904,72
12,0.2,0.0005,-14.944592576601023,-2.4847363670702096,-17.892616921802002,3.732338043188483,77,77,5.961038961038961,54
12,0.2,0.001,-7.713456754208625,-2.4152813937728466,-10.242004243517554,2.3993601706211676,42,42,6.857142857142857,28
12,0.3,,-34.06030896692498,-1.097155702906051,-39.70994738642351,11.650226606238338,187,187,7.101604278074866,114
12,0.3,0.0,-20.789828540672005,-1.8663176966427628,-23.59874653058961,5.945081311650227,103,103,6.58252427184466,65
12,0.3,0.0005,-16.193053374470512,-2.5134418511747363,-19.159118807269625,3.998933617701946,77,77,6.415584415584416,50
12,0.3,0.001,-8.380595727887119,-2.4342950751347296,-10.89086435965533,2.532657957877899,42,42,7.238095238095238,27
12,0.4,,-37.27953831123349,-1.0780449833929568,-42.70369070804733,11.943481738203147,182,182,7.516483516483516,105
12,0.4,0.0,-20.400613496439014,-1.8498919559656724,-23.477097184077838,6.318315115969075,100,100,7.07,60
12,0.4,0.0005,-16.185465268768006,-2.4982602350194796,-19.15179925708585,4.158890962410024,76,76,6.7894736842105265,48
12,0.4,0.001,-7.203206636402626,-2.361949547465721,-9.74573440505587,2.5859770727805915,42,42,7.380952380952381,26
13,,,2.137964368203016,-1.4051569143700469,-6.239271556099354,16.60890429218875,130,130,13.0,0
